📺央视频道,#genre#
CETV1, http://139.129.231.228/rtp/239.21.2.7:5002
CETV2, http://139.129.231.228/rtp/239.21.2.8:5002
📡卫视频道,#genre#
浙江卫视, https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
黑龙江卫视, https://www.yangshipin.cn/tv/home?pid=600002498
广西卫视, https://www.yangshipin.cn/tv/home?pid=600002509
贵州卫视, https://www.yangshipin.cn/tv/home?pid=600002490
海南卫视, https://www.yangshipin.cn/tv/home?pid=600002506
海南卫视, http://139.129.231.228/rtp/239.21.2.14:5002
内蒙古卫视, https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
☘️浙江频道,#genre#
浙江钱江, https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江, http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江生活, https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?
浙江生活, http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教育, https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?
浙江民生, https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生, http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江新闻, https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?
浙江新闻, http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿, https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?
浙江少儿, http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
之江纪录, https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
之江纪录, http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江国际, https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?
浙江国际, http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江民生休闲, https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?
浙江民生休闲, http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江教科影院, http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江休闲台, http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
鄞州二套, http://pili-publish.yzxw.newaircloud.com/newaircloud-yzxw/yzxw_20190925090936.m3u8?zzhed
鄞州一套, http://pili-publish.yzxw.newaircloud.com/newaircloud-yzxw/yzxw_20190925090843.m3u8?zzhed
绍兴电视台公共, http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed
绍兴新闻综合, http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed
绍兴文化影院, http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
中国蓝新闻, https://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8?
中国蓝新闻, http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
☘️北京频道,#genre#
通州电视台, http://pull.dayuntongzhou.com/live/tztv.m3u8
☘️上海频道,#genre#
动漫秀场, http://139.196.151.191/rtp/239.45.3.134:5140
新闻综合, http://139.129.231.228/rtp/239.21.1.193:5002
欢笑剧场, http://139.196.151.191/rtp/239.45.3.196:5140
法治天地, http://139.196.151.191/rtp/239.45.1.46:5140
都市剧场, http://139.196.151.191/rtp/239.45.3.136:5140
☘️江苏频道,#genre#
句容新闻综合, http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
宜兴新闻, http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8?zjiangsd
武进新闻, https://live.wjyanghu.com/live/CH1.m3u8
武进生活, https://live.wjyanghu.com/live/CH2.m3u8
泰州一套新闻综合, http://stream1.mytaizhou.net/xwzh/playlist.m3u8?_upt=2f3c2e461725409415
泰州三套影视娱乐, http://stream1.mytaizhou.net/ysyl/playlist.m3u8?_upt=16dfe82d1725409426
苏州4k, https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州文化生活, https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州新闻综合, https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州生活资讯, https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州社会经济, https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
镇江二套社会民生, http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
镇江新闻综合, http://cm-wshls.homecdn.com/live/2aa50.m3u8
☘️湖南频道,#genre#
十堰新闻, http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
十堰新闻, https://p8.vzan.com/slowlive/034028687228317362/live.m3u8?zbid=351104&tpid=868100086
☘️广西频道,#genre#
南宁公共, http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8?zguangxd
南宁公共, https://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
南宁影娱乐, http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8?zguangxd
南宁新闻综合, http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8?zguangxd
南宁新闻综合, https://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁都市生活, http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8?zguangxd
南宁都市生活, https://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
南宁影视娱乐, https://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
☘️天津频道,#genre#
津南一套, http://play.jinnantv.top/live/JNTV1.m3u8?ztianjd
☘️四川频道,#genre#
利州综合, http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicd
剑阁综合, https://m3u8.channel.dzsm.com/nmip-media/channellive/channel105549/playlist.m3u8
叙州新闻综合, http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8?zsicd
广元公共, https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
广元综合, https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
长宁综合, http://cnpull.sccnfb.com/live/123456.m3u8?zsicd
☘️贵州频道,#genre#
临洮综合, https://play.kankanlive.com/live/1638428318510977.m3u8?zgand
临潭综合, http://pili-live-hls.hfmt.net/gntv/lttv.m3u8?zgand
卓尼综合, http://pili-live-hls.hfmt.net/gntv/zntv.m3u8?zgand
夏河综合, http://pili-live-hls.hfmt.net/gntv/xhtv.m3u8?zgand
天水新闻综合, https://play.kankanlive.com/live/1698724188723989.m3u8
天祝综合, https://play.kankanlive.com/live/1656487214793905.m3u8
定西公共, https://play.kankanlive.com/live/1645680054929933.m3u8?zgand
定西综合, https://play.kankanlive.com/live/1645679947087932.m3u8?zgand
岷县综合, http://play.kankanlive.com/live/1614311581479927.m3u8?zgand
张掖新闻综合, https://play.kankanlive.com/live/1629709727589955.m3u8
景泰综合, https://play.kankanlive.com/live/1624439143745981.m3u8?zgand
玛曲综合, http://pili-live-hls.hfmt.net/gntv/mqtv.m3u8?gansu
